31,NIGERIAN MILITANT #2,3,1,0
141,IN THE CHALLENGE POOL,4,0,0
140,IN THE SEATING AREA,4,0,0
97,BACK IN THE PIT,4,0,0
104,ON NAKIA AND OKOYE,4,0,0
147,ON NAKIA AND RAMONDA,4,0,0
172,ON KILLMONGER AND SHURI,4,0,0
92,ON ROSS AND T'CHALLA,4,0,0
61,BACK IN THE POOL,4,0,0
188,MEDICINE HUT - CONTINUOUS,4,0,0
63,ON SHURI AND RAMONDA,4,0,0
154,OF THE JABARI ARMY.,4,0,0
187,NECROPOLITAN CHILDREN WITH PAINTED FACES,5,0,0
85,". A LARGE KOREAN TOUGH,",5,0,0
175,"SHURI'S LAB, WAKANDAN DESIGN GROUP",5,0,0
171,GRABBING HER GAUNTLETS WITH HIS,5,0,0
103,FLYING THROUGH THE UPPER BALCONY,5,0,0
73,BACK IN THE CHALLENGE POOL,5,0,0
81,DESIGN GROUP - MOMENTS LATER,5,0,0
174,"TACKLES KILLMONGER IN THE BACK,",5,0,0
146,"ON SHURI, NAKIA, OKOYE AND AYO",6,0,0
119,EXPLODES INTO A TRILLION GRAINS OF SAND,7,0,0
108,PANTHER SPRINTS AFTER THE CARS AS NANITES SCRAMBLE FROM HIS,10,0,0
109,"NECKLACE, COVERING HIS ENTIRE BODY, FORMING HIS NEW MASK OVER",10,0,0
