,recall
PETER PARKER,0.5281306715063521
THOR,0.3986095017381228
TONY STARK,0.3245663122551763
LOKI,0.3180428134556575
PEPPER POTTS,0.26303854875283444
STEVE ROGERS,0.26202661207778916
JAMES RHODES,0.2389937106918239
NICK FURY,0.2185792349726776
BRUCE BANNER,0.18733509234828497
NATASHA ROMANOFF,0.1686746987951807
mean,0.2907997196593899
