character,Ant-Man,Avengers: Age of Ultron,Avengers: Endgame,Avengers: Infinity War,Black Panther,Captain America: Civil War,Captain America: The First Avenger,Captain America: The Winter Soldier,Captain Marvel,Guardians of the Galaxy Vol. 2,Iron Man,Iron Man 2,Iron Man 3,Spider-Man: Homecoming,The Avengers,Thor,Thor: Ragnarok,Thor: The Dark World,total lines,total words,movie appearances,avg words per line,avg lines per movie
MRS. SPENCER,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,122,1,30,4
GRIEVING MAN,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,81,1,20,4
ANNE MARIE HOAG,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,80,1,20,4
IRON LEGION,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,77,1,19,4
COUNCILMAN SINGH,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,63,1,15,4
ROEDER,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,52,1,13,4
SHAMAN,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49,1,12,4
COACH WILSON,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,47,1,11,4
FRANK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,1,11,4
HEAD ENGINEER,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,44,1,11,4
SCHNEIDER,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,44,1,11,4
MS. WARREN,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,42,1,10,4
RANDY,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,41,1,10,4
PRINCIPAL MORITA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,38,1,9,4
MEDICAL EXAMINER,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,37,1,9,4
POLICE,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,37,1,9,4
MADAME B,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,1,9,4
APPLE EMPLOYEE,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,35,1,8,4
GILMORE HODGE,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,35,1,8,4
M.P.,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,1,8,4
COM TECH #1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,30,1,7,4
TULLK,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,29,1,7,4
TECHNICIAN,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,28,1,7,4
CORVUS GLAIVE,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,2,6,2
DELIVERY TRUCK DRIVER,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,26,1,6,4
IRON MAN JIMMY,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,26,1,6,4
CHARLIE XO,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,25,1,6,4
FEMALE SHIELD AGENT,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,1,6,4
FRENCH PIRATE,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,24,1,6,4
OAKLAND KID #1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,1,6,4
FORTRESS SOLDIER,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,1,5,4
RIVER TRIBE ELDER,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,1,5,4
MALE AGENT,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,19,2,4,2
HO YINSEN,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,18,1,4,4
GALE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,1,4,4
YOUNG KILLMONGER,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,1,3,4
GIRL,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,13,1,3,4
EIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,1,3,4
YOUNG GAMORA,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,1,3,4
MALE NURSE,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,9,1,2,4
THE SMITHSONIAN NARRATOR,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,106,1,35,3
TECHIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,89,1,29,3
MIT TEACHER,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,73,1,24,3
NEWS ANCHOR #4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,68,1,22,3
COMMERCIAL ANNOUNCER,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,65,1,21,3
A1 TONY,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,1,15,3
COMMITTEE GENERAL,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,46,1,15,3
HEINZ KRUGER,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,41,1,13,3
DRUNK TOWNIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,40,1,13,3
TOUR GUIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,40,1,13,3
ADMIRAL,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,39,1,13,3
FEMALE WAR VETERAN,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,39,1,13,3
HUTTER,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,39,1,13,3
GEF THE RAVAGER,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,31,1,10,3
MODERATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,31,1,10,3
SOREN,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,31,1,10,3
YOUNG GIRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,30,1,10,3
DESK OFFICER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,29,1,9,3
OAKLAND KID #3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,1,9,3
SPECIALIST CAMERON KLEIN,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,1,9,3
ICE CREAM STORE CUSTOMER,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,1,9,3
MILITARY AIDE,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,28,1,9,3
TOWNIE PETE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,28,1,9,3
CHAMBERMAID,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,27,1,9,3
LOUD JERK,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,27,1,9,3
POLICE OFFICER #1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26,1,8,3
STUDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,25,2,8,1
RETCH,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,24,1,8,3
NURSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,21,2,7,1
DETECTIVE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,1,7,3
RENATA,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,21,1,7,3
SECURITY CHECKPOINT,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,21,1,7,3
KREE,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,20,1,6,3
ROBBER 1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,20,1,6,3
STRIKE AGENT,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,20,1,6,3
ELON MUSK,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,18,1,6,3
AGENT CALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,17,1,5,3
LEAD SCRAPPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,17,1,5,3
PEACHY,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1,5,3
POLICE OFFICER #2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,1,5,3
GSG-9 SOLDIER,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,16,1,5,3
MOTHER,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,16,1,5,3
OAKLAND KID #2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,1,5,3
MADDIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,1,5,3
AGENT GARRETT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,14,1,4,3
CONNIE,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,13,1,4,3
DORA MILAJE 1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,1,4,3
PRATT,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,13,1,4,3
ALPHA GUARD,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,1,4,3
ERIN,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,12,1,4,3
COM TECH #2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,11,1,3,3
YOUNG BOY,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,11,1,3,3
ACCUSER,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,10,1,3,3
SALLY AVRIL,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,1,3,3
SHIELD AGENT #2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,1,2,3
"BRIAN ""TINY"" MCKEEVER",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,1,2,3
PA,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,1,2,3
SOOTHING VOICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,150,1,75,2
DODGERS ANNOUNCER,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,145,1,72,2
ZEMO'S WIFE,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,48,1,24,2
NEWS ANCHOR #1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,46,1,23,2
POLICE SERGEANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,46,1,23,2
SCUDDER,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,39,1,19,2
AKIHIKO,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,1,16,2
CARRIER BRIDGE TECH 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,30,1,15,2
GEORGES BATROC,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,29,1,14,2
EMCEE,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,27,1,13,2
RONIN,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,1,12,2
REPORTER #2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,24,1,12,2
COUNCILWOMAN HAWLEY,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,23,1,11,2
JABARI WARRIORS,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,1,11,2
NEWS READER,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,23,1,11,2
EDWIN JARVIS,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,1,11,2
YOUNG T' CHAKA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,1,10,2
ARMY HECKLER#1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,19,1,9,2
CONTROL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,19,1,9,2
MERCHANT TRIBE ELDER,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,1,9,2
WORKER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,19,1,9,2
SHIELD WORKER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,18,1,9,2
WOMAN ON PA,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,18,1,9,2
BORDER TRIBE ELDER,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,1,8,2
ANTON VANKO,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,16,1,8,2
CARINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16,1,8,2
JET PILOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,16,1,8,2
COMPUTER VOICE,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,15,1,7,2
EINHERJAR LIEUTENANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,15,1,7,2
MAN ON PA,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,15,1,7,2
MERCENARY #1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,15,1,7,2
OBLO,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,15,1,7,2
STREET VENDOR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,14,1,7,2
COLLEGE GIRL 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,13,1,6,2
SECURITY OFFICER,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,13,1,6,2
STARK’S ENGINEER,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,13,1,6,2
YOUNG COP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,13,1,6,2
COUNCILMAN YEN,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,12,1,6,2
GUARDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,1,6,2
IAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,1,6,2
PARK RANGER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,12,1,6,2
PARTY GUEST,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,11,2,5,1
CAR JACKER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,11,1,5,2
FEMALE CARRIER BRIDGE TECH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,11,1,5,2
GERMAN OLD MAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,11,1,5,2
GOVERNMENT OFFICIAL #2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,11,1,5,2
GUARD #1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,11,1,5,2
LIMBANI,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,5,2
SCANNER,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,11,1,5,2
SCIENTIST #1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,11,1,5,2
UN STAFFER,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,5,2
WARDEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,11,1,5,2
BITCHING-BETTY,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,10,1,5,2
FRIGHTENED PILOT,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,10,1,5,2
HISTORY TEACHER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,10,1,5,2
LINDA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,5,2
MARTINEX,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,10,1,5,2
MILITANT LEADER,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,5,2
YOUNG BLACK KID,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,5,2
ALETA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,9,1,4,2
AYO,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,4,2
COLLEGE GIRL 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,1,4,2
COUSIN CARLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,1,4,2
DODC AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,9,1,4,2
ELDERLY WOMAN,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,4,2
MARJORIE,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,9,1,4,2
OFFICER #2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,9,1,4,2
PEPPER'S ASSISTANT,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,9,1,4,2
A1 NATASHA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,4,2
BARTENDER,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,8,1,4,2
HIDEOUS RABBIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,4,2
HYDRA DISPATCH,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,8,1,4,2
JAN,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,1,4,2
PYM TECH SECURITY GUARD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,4,2
TECH,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,8,1,4,2
SOLDIERS,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,2,3,1
FBI AGENT 1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,7,1,3,2
REPORTER # 1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,7,1,3,2
THAI WAITER,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,7,1,3,2
VANESSA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,7,1,3,2
WOMAN ON TRAIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,1,3,2
A1 HULK,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,3,2
CHARLIE-27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,6,1,3,2
DELI CLERK,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,6,1,3,2
FEMALE NURSE,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,6,1,3,2
HEATHER,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6,1,3,2
HYDRA LIEUTENANT,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,6,1,3,2
MAIDEN,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,3,2
SKRULL TECH,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,6,1,3,2
STUDENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,6,1,3,2
BOTH,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,5,1,2,2
CUSTODIAN,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,2
KLAUE'S MERCENARY,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,2
NAVID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,2,2
YOUNG DOCTOR,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,2
BUCKY,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,2
SKRULL,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,1,2,2
DECATHLON TEAM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,2
HAPPY'S NURSE,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,1,1,2
TV REPORTER’S VOICE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,235,1,235,1
NARRATOR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,197,1,197,1
VIDEO VOICE OVER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115,1,115,1
BBC ANCHOR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,1,89,1
STONEHENGE TV NEWS REPORTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,73,1,73,1
ACTOR ODIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,69,1,69,1
MAC GARGAN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,68,1,68,1
ASGARDIAN PA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,67,1
THOR/SELVIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,55,1,55,1
HOSPITAL NEWS REPORTER,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,41,1,41,1
LIBRARIAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35,1,35,1
MAN ON THE RADIO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,34,1,34,1
WAITRESS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,31,1,31,1
JOAN RIVERS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,28,1,28,1
VERS' BROTHER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26,1,26,1
MALE REPORTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,24,1,24,1
THE SENATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,24,1,24,1
STARK'S ASSISTANT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1,23,1
LOKI/STEVE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1,22,1
MR. COBBWELL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22,1,22,1
CULL OBSIDIAN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,21,1
NEWS ANCHOR #2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,21,1
NEWS ANCHOR #5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,21,1
BILL MAHER,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20,1,20,1
BOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,1,20,1
CRAMER,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19,1,19,1
FRENCH AMBASSADOR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,19,1
CHAD DAVIS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18,1,18,1
EXPO ANNOUNCER,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,1,17,1
PRIEST,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,17,1
ASGARDIAN NURSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,1,16,1
ATTACHE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,16,1
BAILIFF,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,16,1,16,1
LITTLE BOY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,1,16,1
NEWS ANCHOR #3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,16,1
MALE CITIZEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,1,15,1
NIGERIAN MILITANT #2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,15,1
NEWS REPORTER #1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14,1,14,1
TAXI DRIVER,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,1,14,1
CREW,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13,1,13,1
OFFICER FITZGIBBON,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13,1,13,1
SHIELD PILOT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,13,1,13,1
A1 CLINT BARTON,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,12,1
BIKER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,1,12,1
CADETS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,1,12,1
MAN ON PA #1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,12,1
MAN ON SPEAKERS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,12,1
NOVAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,1,12,1
POLICE RADIO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,12,1
PUSHY TABLOID REPORTER,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,1,12,1
AGENT JACKSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,1,11,1
